x,y
-1.51769,6.05250
-1.86661,21.70597
-1.03415,1.19676
-1.10874,6.24473
-1.67518,11.18999
-1.14637,4.41067
-1.11285,2.59375
-1.38010,5.52880
-0.47143,1.32691
-0.30769,2.11394
-0.47286,0.29368
-0.39632,2.89392
-0.35217,4.06633
-0.22533,3.36462
-0.29278,2.05797
-0.41147,1.61944
0.36139,5.15041
0.17104,5.77172
0.40318,4.77526
0.19556,7.60910
0.40588,7.86161
0.28545,2.44670
0.17137,5.53602
0.49093,4.52000
0.85409,7.82475
0.80864,6.53086
1.98006,21.89302
1.68948,15.88887
1.97478,21.68259
0.67254,5.93339
0.68917,8.30987
1.59866,15.62853
